"","ORIGIN_CITY","DEST_CITY","Carrier","Average_Delay_Time","Average_Price","Food_Drink","Entertainment","Seat_comfort","Stuff_Service","Value_for_Money","OrLon","OrLat","DeLon","DeLat","Dist"
"1","Aguadilla","Fort Lauderdale","JetBlue Airways",15.4376244425,215.078624425,3,3,4,3,3,-67.1540698,18.4274454,-80.1433786,26.1223084,1585.25453938872
"2","Aguadilla","Fort Lauderdale","Spirit Air Lines",18.9262714,102.3205851625,2,1,2,2,2,-67.1540698,18.4274454,-80.1433786,26.1223084,1585.25453938872
"3","Aguadilla","New York","JetBlue Airways",13.37498219,233.331002025,3,3,4,3,3,-67.1540698,18.4274454,-73.9814311179,40.7614927583,2560.45030375253
"4","Aguadilla","Newark","United Air Lines",29.751091725,232.950031425,2,2,2,3,2,-67.1540698,18.4274454,-74.1723667,40.735657,2562.4262394969
"5","Aguadilla","Orlando","JetBlue Airways",14.7867338825,188.76274495,3,3,4,3,3,-67.1540698,18.4274454,-81.3792365,28.5383355,1831.75505965091
"6","Akron","Atlanta","Delta Airlines",8.790866043,154.93447535,3,3,3,3,3,-81.5190053,41.0814447,-84.3879824,33.7489954,852.363588223816
"7","Akron","Atlanta","Southwest Airlines",9.13321512075,116.45953155,3,3,3,4,3,-81.5190053,41.0814447,-84.3879824,33.7489954,852.363588223816
"8","Akron","Boston","Southwest Airlines",12.0314574333333,145.5635975,3,3,3,4,3,-81.5190053,41.0814447,-71.0597732,42.3584308,881.23604201418
"9","Akron","Chicago","Atlantic Southeast Airlines",13.03121099,387,2.416666667,2.25,2.833333333,3.083333333,2.75,-81.5190053,41.0814447,-87.6500523,41.850033,519.134705778094
"10","Akron","Denver","Southwest Airlines",9.98735937325,212.40858805,3,3,3,4,3,-81.5190053,41.0814447,-104.9847034,39.7391536,1991.32043344146
"11","Akron","Detroit","Delta Airlines",0,284.84831895,3,3,3,3,3,-81.5190053,41.0814447,-83.0457538,42.331427,188.199811891409
"12","Akron","Fort Lauderdale","Spirit Air Lines",12.9300812366667,62.3588754133333,2,1,2,2,2,-81.5190053,41.0814447,-80.1433786,26.1223084,1664.07315790295
"13","Akron","Fort Myers","Southwest Airlines",8.94638437666667,167.791558966667,3,3,3,4,3,-81.5190053,41.0814447,-81.8723084,26.640628,1602.1359107009
"14","Akron","Fort Myers","Spirit Air Lines",14.140106951,80.2779153266667,2,1,2,2,2,-81.5190053,41.0814447,-81.8723084,26.640628,1602.1359107009
"15","Akron","Las Vegas","Southwest Airlines",13.706995131,191.502082033333,3,3,3,4,3,-81.5190053,41.0814447,-115.137223,36.1749705,2958.65100501867
"16","Akron","Las Vegas","Spirit Air Lines",13.907451925,246.47888446,2,1,2,2,2,-81.5190053,41.0814447,-115.137223,36.1749705,2958.65100501867
"17","Akron","Myrtle Beach","Spirit Air Lines",12.87692308,42.61292517,2,1,2,2,2,-81.5190053,41.0814447,-78.8866943,33.6890603,852.798118732497
"18","Akron","New York","Southwest Airlines",13.57786678675,142.714974025,3,3,3,4,3,-81.5190053,41.0814447,-73.9814311179,40.7614927583,635.721727031508
