,ORIGIN_CITY,DEST_CITY,QUARTER,Carrier,Average_Delay_Time,Accidents,Average_Price,Food_Drink,Entertainment,Seat_comfort,Stuff_Service,Value_for_Money
33,Atlanta,Chicago,3,American Airlines,13.98163265,108,150.2232527,2,2,2,2,2
34,Atlanta,Chicago,4,American Airlines,10.52846715,108,137.7444224,2,2,2,2,2
35,Atlanta,Dallas/Fort Worth,1,American Airlines,10.70610154,108,192.6279087,2,2,2,2,2
36,Atlanta,Dallas/Fort Worth,2,American Airlines,18.25738799,108,218.3036199,2,2,2,2,2
37,Atlanta,Dallas/Fort Worth,3,American Airlines,15.27644231,108,195.8912701,2,2,2,2,2
38,Atlanta,Dallas/Fort Worth,4,American Airlines,10.19848413,108,178.0424645,2,2,2,2,2
39,Atlanta,Los Angeles,1,American Airlines,14.79292929,108,237.2458031,2,2,2,2,2
40,Atlanta,Los Angeles,2,American Airlines,13.19640565,108,278.2232476,2,2,2,2,2
41,Atlanta,Los Angeles,3,American Airlines,11.27178153,108,220.1386094,2,2,2,2,2
42,Atlanta,Los Angeles,4,American Airlines,10.73748309,108,236.9873481,2,2,2,2,2
43,Atlanta,Miami,1,American Airlines,8.176470588,108,149.1258673,2,2,2,2,2
44,Atlanta,Miami,2,American Airlines,11.46998983,108,151.386474,2,2,2,2,2
45,Atlanta,Miami,3,American Airlines,8.89569161,108,140.9684019,2,2,2,2,2
46,Atlanta,Miami,4,American Airlines,8.861079219,108,130.736365,2,2,2,2,2
47,Atlanta,New York,1,American Airlines,17.30364372,108,182.2844606,2,2,2,2,2
48,Atlanta,New York,2,American Airlines,18.54724409,108,209.2301969,2,2,2,2,2
49,Atlanta,New York,3,American Airlines,16.7797619,108,213.9983333,2,2,2,2,2
50,Atlanta,New York,4,American Airlines,10.71641791,108,178.6311217,2,2,2,2,2
51,Atlanta,Philadelphia,1,American Airlines,8.329532497,108,154.9940624,2,2,2,2,2
52,Atlanta,Philadelphia,2,American Airlines,11.07915567,108,193.4613037,2,2,2,2,2
53,Atlanta,Philadelphia,3,American Airlines,10.59805825,108,157.3389775,2,2,2,2,2
54,Atlanta,Philadelphia,4,American Airlines,8.257476295,108,164.4366001,2,2,2,2,2
55,Atlanta,Phoenix,1,American Airlines,7.651832461,108,237.6062716,2,2,2,2,2
